method,scene_id,im_id,instance_id,gt_index,score,translation_error_mm,depth_error_mm,rotation_error_deg,center_error_px,gt_bbox_center_error_px,add_mm,pred_z_mm,gt_z_mm,translation_scale_to_mm,pred_bbox_iou,pred_mask_iou,camera_id
original,1,2105,1494,0,0.07421875,33881.569178370984,33832.04403794166,34.25757115696896,6.613464296574122,6.576357516541675,33942.71035481716,68314.4296875,34482.38564955834,1.0,0.4943544428080511,0.4508894044856922,front
original,1,1680,1522,0,0.15234375,7961.976913580992,7961.05370645945,4.864188734620171,2.3613128575370292,1.3290094526641318,7961.131124670816,35393.5546875,27432.50098104055,1.0,0.5715534829495774,0.5291538798772468,front
original,1,2315,1810,0,0.3203125,6363.200777323663,6361.52150338293,3.044941786283972,2.3696549477284155,1.120815451434711,6363.193892725821,29977.654296875,23616.13279349207,1.0,0.63,0.6026557711950971,front
original,4,2045,1415,0,0.19140625,4727.074441140455,4726.498680329169,4.433794026329374,17.661792301852554,6.114256157961755,4727.961130971945,21481.7265625,16755.22788217083,1.0,0.6095069414627164,0.5641578205230532,stereo_right
original,2,3094,438,0,0.0390625,139328.94549884181,139277.91825241264,101.00147212984812,3.1544062385581255,3.254814646264391,139018.88646124976,311621.0625,172343.14424758736,1.0,0.4,0.17073170731707318,rear
original,2,1750,723,0,0.0,349199.82533324766,252101.24144137907,84.94326921911541,0.8223650344306508,0.47879486487918765,349205.925805856,194149.375,446250.61644137907,1.0,0.21666666666666667,0.20689655172413793,rear
original,1,2155,1565,0,0.13671875,2846.4435571738913,2844.9833434127104,12.468575413306567,11.40404398284948,6.522500755469821,2856.846359460889,19430.271484375,16585.28814096229,1.0,0.6630882089819288,0.5864172967237035,front
original,2,2847,279,0,0.05078125,4002.6950910694263,3130.598903345741,99.14559459758618,12.537485142205592,11.46286233104673,3882.652954794932,34556.484375,31425.88547165426,1.0,0.5761957730812013,0.4804088586030664,rear
original,2,2583,90,0,0.15625,2608.8382243440647,2508.576900756685,15.315333171491961,7.688970346603132,4.303885232159845,2626.6744967872232,23486.671875,20978.094974243315,1.0,0.6611822775884357,0.501452960406829,rear
original,2,3244,540,0,0.09765625,9785.824302226023,9544.457695618126,12.466450420242527,4.391628914761269,4.7585918918936905,9842.555113080633,139481.140625,149025.59832061813,1.0,0.6904761904761905,0.5345622119815668,rear
original,4,1880,1153,0,0.20703125,1214.663686725158,1206.3178475756777,3.5164396821740977,12.662568291710285,65.13167284486694,1210.0481741833926,12320.8525390625,11114.534691486822,1.0,0.792973788465082,0.7006835196801913,stereo_right
original,2,3422,664,0,0.046875,214024.75297780015,213210.11535727567,45.01989320549638,0.8558231657405465,0.9356714456196491,213908.86730669966,471435.40625,258225.29089272433,1.0,0.4375,0.4444444444444444,rear
original,2,2812,254,0,0.11328125,52310.951705416235,51642.10357583777,72.6282320116861,1.813153073473781,1.437367381058617,52311.14854681949,145314.078125,93671.97454916223,1.0,0.5856481481481481,0.572463768115942,rear
original,1,3274,563,0,0.0,223958.00324905934,222479.29078093555,45.082228445752044,0.7295109092395319,0.2626141662608283,224068.4545497751,360563.09375,583042.3845309356,1.0,0.4166666666666667,0.5,front
original,1,2618,125,0,0.06640625,12350.808563993962,12346.507768241281,133.01270595556502,0.38979030741409465,0.4863846337950314,12400.589344276239,443552.6875,431206.1797317587,1.0,0.6206896551724138,0.631578947368421,front
original,1,1905,1193,0,0.1484375,4764.424887352481,4764.023889412925,9.776184219175791,12.335531785844374,6.8783488550573155,4766.698083622314,22873.607421875,18109.583532462075,1.0,0.5378592878592878,0.5172240802675585,front
original,4,2160,1576,0,0.1171875,2299.4355678880124,2297.503943132324,19.604372770821538,99.0201671243837,60.236201891508586,2327.5084549043045,15034.7412109375,12737.237267805176,1.0,0.6717317896767969,0.5606553730522027,stereo_right
original,1,1850,1099,0,0.21484375,580.1385744919022,568.0530522534045,4.7341187832743445,17.946433367926545,25.15766436828456,588.8241474295677,5846.2060546875,6414.2591069409045,1.0,0.7728228760486825,0.7158498855624691,front
original,4,1895,1180,0,0.2734375,3143.9032624555343,3139.8703718450397,2.350267941955265,18.450539770122617,20.941118905189935,3141.1552105954897,19217.119140625,16077.24876877996,1.0,0.6635494907389201,0.5848114846820371,stereo_right
original,1,3387,630,0,0.0,172546.97299479184,162523.11055923253,131.60319758323374,0.37066924238293536,0.3001248643971629,173020.61820454884,315492.6875,478015.79805923253,1.0,0.4,0.4583333333333333,front
original,2,2542,69,0,0.0234375,11808.730214226893,11494.988339137037,70.5636977266828,1714.03823364697,8.59621067048272,11573.233048320732,12444.5498046875,949.5614655504628,1.0,0.656589564281872,0.3917195182783439,rear
original,1,2928,325,0,0.01953125,82427.18605872653,82028.7213386884,108.65565030664213,0.8505423026602257,0.7892768930504485,82640.92360433238,705080.375,623051.6536613116,1.0,0.6666666666666666,0.375,front
original,4,2020,1389,0,0.08984375,3007.5968057555124,2842.707404358275,160.9099304701152,276.0117587635211,468.67068871712087,3960.0939628539413,9066.8603515625,6224.152947204225,1.0,0.6846822800904582,0.4298283575816259,stereo_right
original,4,1790,999,0,0.140625,11610.886830302534,11261.725377926907,19.927606220457413,127.34224883661929,143.5634019833124,11602.434307479834,23202.5703125,11940.844934573093,1.0,0.42589557187722876,0.37996191045222,stereo_right
original,3,2365,1907,0,0.16796875,5912.327606686094,5906.065553287357,12.979299737132743,46.92260982414433,33.404459134820385,5914.690559637878,27304.658203125,21398.592649837643,1.0,0.5581302237125269,0.5166969559291231,stereo_left
original,1,1830,1066,0,0.2265625,2879.7083830512097,2877.884178971477,5.200307419674866,6.07532410618769,1.9055025542585093,2883.2186243899127,18601.447265625,15723.563086653523,1.0,0.7194570135746606,0.645418865881716,front
original,4,2390,1951,0,0.13671875,2423.8957922177615,2423.684543375999,13.813339901270773,24.814441034326457,9.82269290645574,2433.6582251013906,21938.462890625,19514.778347249,1.0,0.7300295857988166,0.6410922265934783,stereo_right
original,2,2693,187,0,0.1015625,3459.7068697541267,2993.188375904145,24.956701118397397,9.90894137037994,6.297257449691682,3453.7885414984517,25229.111328125,22235.922952220855,1.0,0.6277694235588972,0.4886261866380082,rear
original,2,3013,402,0,0.04296875,80634.98014717072,80547.16409763851,100.75909385740074,4.293342232742448,4.097992590942659,80386.82072670256,239268.25,158721.0859023615,1.0,0.44680851063829785,0.27450980392156865,rear
original,2,3013,401,1,0.046875,56278.213893188105,52464.88903634378,178.03931360536941,0.5597192706770325,0.6214646193314766,56514.50408316834,680630.5,628165.6109636562,1.0,0.875,0.6363636363636364,rear
original,3,1815,1039,0,0.1640625,4059.646499076751,4034.1513428984144,2.004502358080077,35.802195142634886,9.440055593305363,4059.425018868494,19165.974609375,15131.823266476586,1.0,0.606590860387871,0.5672092037422243,stereo_left
original,2,1995,1339,0,0.00390625,297334.57514665066,290320.47325025965,81.30583221601592,0.3481992809099063,0.21317553654289972,297558.2541380986,564520.125,854840.5982502596,1.0,0.5,0.5,rear
original,2,2948,364,0,0.07421875,87009.65470557696,86956.99337093806,154.59421139844457,3.2214944067601547,3.793060589624422,86728.42934994839,198239.1875,111282.19412906194,1.0,0.6204379562043796,0.38953488372093026,rear
original,1,3289,586,0,0.0,216326.0136184246,210702.1889121402,68.5191680889265,0.8721356806137214,0.30012608775580524,216452.8817088521,315492.6875,526194.8764121402,1.0,0.75,0.42857142857142855,front
original,1,2200,1635,0,0.22265625,3940.436420749537,3939.3658686465387,1.7964706677539453,4.190949040917499,1.6947089080570852,3941.435167753505,20908.880859375,16969.51499072846,1.0,0.6324749017896115,0.6201986754966887,front
original,2,2648,158,0,0.08984375,10021.075906625396,9397.70198653591,17.220735356627927,11.95975093571712,14.37806017968949,10032.676163503074,41993.46484375,32595.76285721409,1.0,0.527846364883402,0.43238434163701067,rear
original,4,2065,1444,0,0.20703125,6083.288974241459,6074.461666706149,3.3925211222505336,11.165613109390259,2.863673079664572,6081.799121137486,29002.298828125,22927.83716141885,1.0,0.6577735260770975,0.5934281896077352,stereo_right
original,2,2707,191,0,0.0859375,29408.849570396385,21830.22388047354,97.3764865413136,136.75029477918,1.7445343135746472,29404.828095488276,35530.73046875,13700.506588276461,1.0,0.4536723163841808,0.36922744928787227,rear
original,4,1770,965,0,0.04296875,23897.134277129382,23447.92565730893,146.0156594431328,758.6692469549865,75.3103345065981,24031.034748931314,28559.490234375,5111.56457706607,1.0,0.7018084153983886,0.4088667804364402,stereo_right
original,3,1650,1100,0,0.21875,6835.32014265868,6835.2508135226635,4.38794269153931,11.081260546752885,9.080835639453008,6833.4880753540565,37496.59375,30661.342936477336,1.0,0.6600988302996185,0.6156061178247734,stereo_left
original,4,2015,1380,0,0.13671875,105.18307530227102,86.65884717246081,10.782775611581172,29.791638106590348,142.8811523720948,182.88774061677228,7000.49169921875,6913.832852046289,1.0,0.948683137678668,0.7289952196826742,stereo_right
original,1,2140,1544,0,0.27734375,9805.256913418612,9804.969350389903,0.837042525069686,1.196293137133914,1.117818415763667,9806.458869221367,40583.64453125,30778.675180860097,1.0,0.5670731707317073,0.5580411124546554,front
original,2,2742,222,0,0.12109375,100239.32475137795,100184.63498998372,147.46552761841403,3.308916434169519,2.6087447126109624,99688.80512161631,162260.90625,62076.27126001627,1.0,0.5333333333333333,0.4801980198019802,rear
original,4,3284,583,0,0.03515625,28573.686827764515,28451.528213266167,158.40700751278348,1.6968025351396299,1.6711200190203348,28257.898111101425,521315.0625,549766.5907132662,1.0,0.5501355013550135,0.3512396694214876,stereo_right
original,1,2250,1708,0,0.23828125,2938.5822025921116,2936.2321073765997,8.616176936324578,10.800115686847608,3.497347995301471,2941.281904387685,15340.3330078125,12404.1009004359,1.0,0.6273496240601504,0.5997023809523809,front
