scene_id,im_id,gt_index,camera_id,model_count,best_score_model,best_score,best_translation_error_mm_model,best_translation_error_mm,best_depth_error_mm_model,best_depth_error_mm,best_rotation_error_deg_model,best_rotation_error_deg,best_center_error_px_model,best_center_error_px,best_gt_bbox_center_error_px_model,best_gt_bbox_center_error_px,best_add_mm_model,best_add_mm,best_pred_bbox_iou_model,best_pred_bbox_iou,best_pred_mask_iou_model,best_pred_mask_iou
1,880,0,front,4,finetune3,0.23828125,finetune,18069.083934094666,finetune,18001.046541679367,finetune3,2.457152459083712,finetune3,0.5972577859638668,finetune3,1.2450834385043537,finetune,18126.544646881186,finetune,0.6577777777777778,original,0.5783521809369951
1,880,1,front,4,finetune3,0.0703125,original,19685.740484444697,original,19617.974813056353,finetune,56.812233222007414,original,0.8431332710844786,original,0.8734496920651793,original,19624.4785793928,finetune3,0.7368421052631579,finetune2,0.6354166666666666
1,885,0,front,4,finetune3,0.22265625,finetune3,13285.42281099352,finetune3,13104.717335302994,finetune3,4.435413898983811,finetune3,2.0266090249428403,finetune3,2.7698583602268925,finetune3,13282.043950152003,finetune2,0.765,original,0.5758039816232772
1,885,1,front,4,finetune3,0.08984375,finetune3,363.66242549929916,finetune3,258.4934769111278,original,132.2916162701186,finetune2,0.792027898894935,finetune2,1.3793709766716937,finetune3,2597.067846089542,finetune2,0.7539267015706806,finetune3,0.6007905138339921
1,890,0,front,4,finetune3,0.23046875,finetune3,24351.85599552918,finetune3,24036.466317931394,finetune3,3.425115844352157,finetune3,1.1211386901619786,finetune3,1.1232514509825438,finetune3,24354.090440762353,original,0.8592964824120602,original,0.4956063268892794
1,890,1,front,4,original,0.08203125,finetune2,6077.0266069487725,finetune2,5359.006129233967,finetune3,60.918868292185756,finetune2,5.451859677783457,finetune2,4.245459793277826,finetune2,6530.806100452828,finetune2,0.7714285714285715,finetune2,0.5645879732739421
1,895,0,front,4,finetune3,0.12890625,finetune3,14787.33940731206,finetune3,14635.0041785059,finetune3,5.3901104783380065,original,1.7451715995141488,original,1.9854911565452156,finetune3,14799.662761134588,finetune3,0.7121212121212122,original,0.5778401122019635
1,900,0,front,4,finetune3,0.1484375,finetune2,1237.8772092187637,finetune2,1216.4243204975064,finetune,7.549495149595779,original,0.8521812582985927,original,0.9510749919889929,finetune2,1232.3934001379173,finetune2,0.803161652218256,finetune2,0.668046357615894
1,905,0,front,4,finetune3,0.14453125,finetune2,44.80152679545717,finetune2,32.336275399553415,finetune3,13.800982988448887,original,0.8325303336975827,original,0.718092258790689,finetune2,318.5862958548599,finetune2,0.671067106710671,finetune2,0.5863095238095238
1,910,0,front,4,finetune3,0.16015625,original,643.4014073497602,original,533.6115947554135,finetune3,8.013297286295684,finetune2,1.953478982594181,finetune2,0.5276876965804427,original,880.9538752575417,finetune2,0.5615449915110357,finetune2,0.510801393728223
1,915,0,front,4,finetune3,0.16015625,finetune3,6183.969827412601,finetune3,5893.60697124531,original,0.7862430983964283,finetune3,2.3080440713949435,finetune2,2.66120819729149,finetune3,6184.298656879948,finetune,0.5865209471766849,finetune,0.4817012858555885
1,920,0,front,4,finetune3,0.21484375,finetune3,11974.006565441503,finetune3,11637.315743569554,finetune3,7.9344030713245415,original,1.9511527702834535,finetune2,2.177138634131324,finetune3,11972.570458184797,original,0.6171428571428571,original,0.5115332428765265
1,925,0,front,4,finetune3,0.19921875,finetune2,6766.458723159623,finetune2,6715.5591036895785,original,91.41081160339277,finetune,0.8147727606230882,finetune,0.2862655957130198,finetune2,7360.878271356563,finetune2,0.8838383838383839,finetune2,0.7256317689530686
1,930,0,front,4,finetune3,0.36328125,finetune2,13719.385928781607,finetune2,13710.09882709702,finetune,1.914806073974232,original,0.3640550972568345,original,0.4483976217718495,finetune2,13720.24512632216,finetune2,0.6278409090909091,finetune2,0.613882863340564
1,935,0,front,4,finetune3,0.28125,finetune2,10214.396948162394,finetune2,10210.317189825051,finetune3,2.869534119467177,finetune,0.6553639384496334,finetune,0.6422192148573813,finetune3,10247.23707877453,finetune2,0.7232142857142857,finetune2,0.6696035242290749
1,940,0,front,4,finetune3,0.234375,finetune3,14379.086703146708,finetune3,14377.801154613335,finetune3,1.1250384177412638,finetune,0.5564363145384813,finetune,0.49563876486196634,finetune3,14379.641105580562,original,0.5905707196029777,finetune,0.5381263616557734
1,945,0,front,4,finetune3,0.22265625,finetune3,6587.609028165053,finetune3,6567.87095887601,finetune2,0.2997333093726534,original,1.1567700626979622,finetune2,0.6303394072157502,finetune3,6587.734591335121,finetune3,0.8137996219281664,finetune3,0.7127496159754224
1,950,0,front,4,finetune3,0.171875,original,7487.796418130531,original,7363.314011520939,finetune2,11.170032376987544,original,1.0836528390897424,original,1.0935964660331323,original,7479.677534060669,finetune3,0.6262886597938144,finetune3,0.5524017467248908
1,955,0,front,4,finetune3,0.15625,original,8679.888030807739,original,8533.039019069598,finetune2,11.465594635583152,finetune2,1.7568028665618753,finetune2,0.48962196579146366,original,8667.582921235982,finetune3,0.6289978678038379,finetune3,0.5477707006369427
1,960,0,front,4,finetune3,0.21484375,finetune3,7359.8890422184495,finetune3,7193.234940240116,finetune3,8.653630615894455,finetune,2.536438111789237,finetune,1.8135731640562838,finetune3,7357.115785541968,original,0.5794234030525721,finetune,0.4817244611059044
1,965,0,front,4,finetune3,0.2265625,finetune3,12278.489251076164,finetune3,12128.503421523354,finetune3,2.2866152784958462,original,2.454090538086495,original,3.0725477953469382,finetune3,12278.046620619461,finetune3,0.5833333333333334,finetune3,0.5689851767388826
